Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
Carrier	Carrier		9118477	38MGRQ48E--3	Non-Ducted Indoor Units	HMSV-A-CB	10.2	22.4	12.5	"48,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"7,210"	"48,000"	"55,830"	1.02	3.90	4.71	2.07	3.61	3.47		"6,822"	"29,600"	"37,900"	1.07	3.21	5.31	1.87	2.70	2.09		"6,577"		"36,340"	1.10		5.39	1.75		1.98		65%	96%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Bryant	Preferred Series	9118462	38MGRQ18B--3	Non-Ducted Indoor Units	HMSV-A-CB	10.3	22.5	12.5	"18,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"5,760"	"19,000"	"23,960"	0.52	1.53	1.95	3.25	3.64	3.60		"5,376"	"12,000"	"15,020"	0.57	1.25	1.63	2.76	2.81	2.70		"4,752"		"13,990"	0.58		1.91	2.40		2.15		58%	93%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Bryant	Preferred Series	8738643	38MAQB24R--3	619PEQ024BBMA	HRCU-A-CB-O	10.3	20.5	13	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,500"	"24,000"	"29,680"	0.32	2.26	3.19	4.98	3.10	2.73		"4,700"	"15,400"	"25,710"	0.31	1.71	3.87	4.42	2.64	1.95		"2,856"		"24,030"	0.30		3.98	2.83		1.77		81%	93%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier	Carrier		9118461	38MGRQ18B--3	Non-Ducted Indoor Units	HMSV-A-CB	10.3	22.5	12.5	"18,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"5,760"	"19,000"	"23,960"	0.52	1.53	1.95	3.25	3.64	3.60		"5,376"	"12,000"	"15,020"	0.57	1.25	1.63	2.76	2.81	2.70		"4,752"		"13,990"	0.58		1.91	2.40		2.15		58%	93%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Bryant	Preferred Series	9118474	38MGRQ36D--3	Non-Ducted Indoor Units	HRCU-A-CB-O	10.5	21.5	13.5	"36,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"7,210"	"36,000"	"50,540"	1.04	2.77	4.66	2.03	3.81	3.18		"7,210"	"23,200"	"37,410"	1.14	2.44	5.25	1.85	2.79	2.09		"7,210"		"36,080"	1.20		5.39	1.76		1.96		71%	96%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Bryant	Preferred Series	8856654	38MAQB18R--3	619REQ018CBMA	HRCU-A-CB-O	10.5	20	12.5	"16,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,700"	"18,000"	"24,630"	0.27	1.53	2.53	5.10	3.43	2.85		"3,750"	"12,000"	"20,590"	0.25	1.38	2.93	4.40	2.55	2.06		"2,660"		"19,010"	0.23		3.18	3.39		1.75		77%	92%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier	Bryant	Preferred Series	8856652	38MAQB18R--3	Ducted Indoor Units	HRCU-A-CB-O	10.5	19.6	12.5	"16,500"	Yes	Ductless	Single-zone	Ducted Indoor Units		"5,500"	"18,000"	"19,000"	0.39	1.48	1.73	4.15	3.57	3.21		"5,500"	"12,200"	"18,000"	0.51	1.41	2.47	3.18	2.54	2.14		"5,500"		"18,000"	0.68		3.01	2.38		1.75		95%	100%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Carrier		9118473	38MGRQ36D--3	Non-Ducted Indoor Units	HRCU-A-CB-O	10.5	21.5	13.5	"36,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"7,210"	"36,000"	"50,540"	1.04	2.77	4.66	2.03	3.81	3.18		"7,210"	"23,200"	"37,410"	1.14	2.44	5.25	1.85	2.79	2.09		"7,210"		"36,080"	1.20		5.39	1.76		1.96		71%	96%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Carrier		8856653	38MAQB18R--3	Ducted Indoor Units	HRCU-A-CB-O	10.5	19.6	12.5	"16,500"	Yes	Ductless	Single-zone	Ducted Indoor Units		"5,500"	"18,000"	"19,000"	0.39	1.48	1.73	4.15	3.57	3.21		"5,500"	"12,200"	"18,000"	0.51	1.41	2.47	3.18	2.54	2.14		"5,500"		"18,000"	0.68		3.01	2.38		1.75		95%	100%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier	Bryant	Preferred Series	8738646	38MAQB09R--3	619PEQ009BBMA	HRCU-A-CB-O	11.2	25	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,500"	"10,900"	"14,980"	0.15	0.81	1.39	6.88	3.94	3.16		"2,750"	"6,900"	"13,580"	0.15	0.74	1.76	5.55	2.74	2.26		"1,907"		"10,900"	0.13		1.61	4.30		1.98		73%	80%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier	Bryant	Preferred Series	8738645	38MAQB12R--3	619PEQ012BBMA	HRCU-A-CB-O	12	22.5	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,000"	"11,800"	"14,980"	0.18	0.97	1.39	6.42	3.56	3.16		"3,250"	"7,800"	"13,580"	0.18	0.87	1.76	5.18	2.64	2.26		"2,030"		"12,010"	0.14		1.78	4.22		1.98		80%	88%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier 	Carrier		9854626	38MGRQ30D--3	Non-Ducted Indoor Units	HMSV-A-CB	10	23.8	12.5	"30,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"6,350"	"28,000"	"37,210"	0.76	2.15	3.21	2.45	3.82	3.40		"5,834"	"17,400"	"27,670"	0.82	1.83	3.85	2.09	2.79	2.11		"5,164"		"28,220"	0.86		4.05	1.76		2.04		76%	102%		Integrated 	150	"1.When the unit power on and changed in heating mode,and if the outdoor temperature continue lower than 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.If be on the defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Carrier 	Carrier		8738638	38MAQB24R--3	40MAQB24B--3	HRCU-A-CB-O	10.3	20.5	13	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,500"	"24,000"	"29,680"	0.32	2.26	3.19	4.98	3.10	2.73		"4,700"	"15,400"	"25,710"	0.31	1.71	3.87	4.42	2.64	1.95		"2,856"		"24,030"	0.30		3.98	2.83		1.77		81%	93%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier 	Carrier		7992954	38GRQB09---301	40GRQB09H--301	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
Carrier 	Carrier		7992956	38GRQB12---301	40GRQB12H--301	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
Carrier 	Carrier		7992958	38GRQB18---301	40GRQB18H--301	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
Carrier 	Carrier		8856655	38MAQB18R--3	40MBQB18C--3	HRCU-A-CB-O	10.5	20	12.5	"16,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,700"	"18,000"	"24,630"	0.27	1.53	2.53	5.10	3.43	2.85		"3,750"	"12,000"	"20,590"	0.25	1.38	2.93	4.40	2.55	2.06		"2,660"		"19,010"	0.23		3.18	3.39		1.75		77%	92%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier 	Carrier		8738635	38MAQB09R--3	40MAQB09B--3	HRCU-A-CB-O	11.2	25	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,500"	"10,900"	"14,980"	0.15	0.81	1.39	6.88	3.94	3.16		"2,750"	"6,900"	"13,580"	0.15	0.74	1.76	5.55	2.74	2.26		"1,907"		"10,900"	0.13		1.61	4.30		1.98		73%	80%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Carrier 	Carrier		8738636	38MAQB12R--3	40MAQB12B--3	HRCU-A-CB-O	12	22.5	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,000"	"11,800"	"14,980"	0.18	0.97	1.39	6.42	3.56	3.16		"3,250"	"7,800"	"13,580"	0.18	0.87	1.76	5.18	2.64	2.26		"2,030"		"12,010"	0.14		1.78	4.22		1.98		80%	88%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		N/A		z													
Daikin AC (Americas), Inc	Daikin	Vista	9966684	RX12QMVJU	FFQ12Q2VJU	HRCU-A-CB-O	11.2	20.2	12.5	"10,800"	Yes	Ductless	Single-zone	Cassette		"4,600"	"13,500"	"16,800"	0.25	0.99	1.45	5.40	4.02	3.39		"3,150"	"7,850"	"9,760"	0.22	0.70	1.03	4.18	3.28	2.76		"2,420"		"7,500"	0.21		0.96	3.38		2.28		45%	77%		accessory (KEH067A41E)	140	Temp. below 23 degrees		N/A															
Daikin AC (Americas), Inc	Daikin	Vista	9966775	RX15QMVJU	FFQ15Q2VJU	HRCU-A-CB-O	11	20.7	12.5	"14,400"	Yes	Ductless	Single-zone	Cassette		"5,200"	"16,200"	"16,300"	0.31	1.24	1.30	4.92	3.83	3.67		"3,570"	"9,400"	"9,460"	0.27	0.87	0.92	3.88	3.17	3.01		"2,740"		"7,270"	0.26		0.86	3.08		2.47		45%	77%		accessory (KEH063A4E)	140	Temp below 23 degrees		N/A															
Daikin AC (Americas), Inc	Daikin	Vista	9966569	RX09QMVJU	FFQ09Q2VJU	HRCU-A-CB-O	11.7	20.9	13	"9,100"	Yes	Ductless	Single-zone	Cassette		"4,600"	"10,000"	"14,000"	0.25	0.64	1.15	5.40	4.59	3.57		"3,150"	"5,830"	"8,150"	0.22	0.45	0.81	4.18	3.80	2.94		"2,420"		"6,270"	0.21		0.76	3.38		2.42		45%	77%		accessory (KEH067A41E)	140	Temp below 23 degrees		N/A															
Daikin AC (Americas), Inc	Daikin	Vista	10318063	RX18QMVJU	FFQ18Q2VJU	HRCU-A-CB-O	10.1	19.3	12.5	"17,400"	Yes	ductless	Single-zone	Cassette		"5,400"	"21,600"	"21,800"	0.37	1.88	1.92	4.28	3.37	3.33		"3,640"	"12,490"	"12,610"	0.33	1.33	1.36	3.24	2.74	2.72		"2,800"		"9,700"	0.31		1.27	2.65		2.24		44%	77%		accessory (KEH063A4E)	140	Temp below 23 degrees																	
Daikin AC (Americas), Inc	Daikin	Quaternity Series	3208523	RXG15HVJU	FTXG15HVJU	HRCU-A-CB-O	10	21	12.9	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,668"	"18,000"	"21,280"	0.23	1.32	2.16	5.85	3.99	2.89		"3,003"	"11,100"	"14,340"	0.20	1.08	1.87	4.34	3.00	2.25		"2,330"		"11,150"	0.19		1.75	3.59		1.87		52%	78%		Accessory (KEH041A45)		Temp. below 23 degrees		-4		z	"8,750"			1.67			1.54						
Daikin AC (Americas), Inc	Daikin	MXL Aurora Series	8849535	2MXL18QMVJU	40GRQB18H--301	HRCU-A-CB-O	10.3	17	12.7	"18,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"7,710"	"18,940"	"36,000"	0.47	1.32	3.17	4.81	4.21	3.33		"5,020"	"12,330"	"23,480"	0.41	1.15	2.77	3.59	3.14	2.48		"4,050"		"18,930"	0.39		2.62	3.04		2.12		53%	81%		N/A				N/A															
Daikin AC (Americas), Inc	Daikin	Quaternity Series	3208522	RXG12HVJU	FTXG12HVJU	HRCU-A-CB-O	10.55	24.2	14	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,668"	"16,000"	"19,130"	0.22	1.16	2.14	6.11	4.04	2.62		"3,003"	"10,400"	"12,920"	0.19	0.98	1.78	4.58	3.10	2.13		"2,330"		"10,040"	0.18		1.67	3.77		1.76		52%	78%		Accessory (KEH041A45)		Temp. below 23 degrees		-4		z	"7,880"			1.58			1.46						
Daikin AC (Americas), Inc	Daikin	LV Series	5265758	RXS24LVJU	FTXS24LVJU	HRCU-A-CB-O	10.6	20	12.5	"21,400"	Yes	Ductless	Single-zone	Mini-Splits		"7,800"	"25,400"	"31,400"	0.54	2.21	2.75	4.25	3.37	3.34		"4,260"	"13,781"	"17,041"	0.37	1.54	1.91	3.34	2.63	2.61		"3,507"		"14,028"	0.36		1.82	2.89		2.26		45%	82%		Accessory (KEH041A43)		Temp. below 23 degrees		0	"3,055"	z	"12,220"	0.35		1.77	2.59		2.03						
Daikin AC (Americas), Inc	Daikin	MXS Series	8103542	2MXS18NMVJU	CTXS09HVJU+CTXS09LVJU	HRCU-A-CB-O	10.7	18.9	12.5	"18,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"4,900"	"18,900"	"25,000"	0.29	1.26	1.69	4.94	4.40	4.34		"3,800"	"12,780"	"16,910"	0.29	1.11	1.49	3.83	3.37	3.33		"3,190"		"13,150"	0.29		1.40	3.21		2.76		53%	78%		Accessory (KEH063A4E)		Temp. below 23 degrees		0	"2,910"	z	"11,580"	0.29		1.36	2.93		2.50						
Daikin AC (Americas), Inc	Daikin	Quaternity Series	3208521	RXG09HVJU	FTXG09HVJU	HRCU-A-CB-O	11	26.1	15.8	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,668"	"12,000"	"18,670"	0.22	0.78	1.94	6.11	4.51	2.82		"3,003"	"8,100"	"12,170"	0.19	0.72	1.68	4.54	3.30	2.12		"2,330"		"9,460"	0.18		1.57	3.75		1.77		51%	78%		Accessory (KEH041A45)		Temp. below 23 degrees		-4		z	"7,430"			1.49			1.46						
Daikin AC (Americas), Inc	Daikin	LV Series	5265757	RXS18LVJU	FTXS18LVJU	HRCU-A-CB-O	11	20.3	12.7	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,800"	"21,600"	"26,700"	0.41	1.71	2.12	4.17	3.70	3.70		"3,149"	"11,725"	"14,485"	0.28	1.19	1.47	3.26	2.89	2.89		"2,592"		"11,924"	0.27		1.40	2.82		2.49		45%	82%		Accessory (KEH041A42)		Temp. below 23 degrees		0	"2,258"	z	"10,387"	0.26		1.36	2.53		2.24						
Daikin AC (Americas), Inc	Daikin	Aurora Series	8849445	RXL15QMVJU	FVXS15NVJU	HRCU-A-CB-O	11.3	20	12.5	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,814"	"18,056"	"23,884"	0.34	1.40	1.81	5.01	3.78	3.87		"3,784"	"11,751"	"19,414"	0.30	1.22	2.11	3.73	2.82	2.70		"2,958"		"18,015"	0.28		2.20	3.11		2.40		75%	93%		N/A				N/A		z													
Daikin AC (Americas), Inc	Daikin	LV Series	5265756	RXS15LVJU	FTXS15LVJU	HRCU-A-CB-O	11.6	20.6	14.4	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,800"	"18,000"	"22,300"	0.39	1.32	1.64	4.35	4.00	3.97		"3,149"	"9,780"	"12,114"	0.27	0.92	1.14	3.40	3.13	3.11		"2,592"		"9,972"	0.26		1.09	2.94		2.69		45%	82%		Accessory (KEH041A42)		Temp. below 23 degrees		0	"2,258"	z	"8,687"	0.25		1.06	2.64		2.41						
Daikin AC (Americas), Inc	Daikin	Aurora Series	8849459	RXL09QMVJU	FVXS09NVJU	HRCU-A-CB-O	11.7	20	12.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,446"	"10,089"	"14,330"	0.24	0.72	1.36	5.43	4.10	3.10		"2,893"	"6,565"	"11,082"	0.21	0.63	1.38	4.04	3.06	2.36		"2,262"		"10,065"	0.20		1.38	3.37		2.13		70%	91%		N/A				N/A		z													
Daikin AC (Americas), Inc	Daikin	Aurora Series	8849458	RXL12QMVJU	FTX12NMVJU	HRCU-A-CB-O	12	20	12.5	"10,900"	Yes	Ductless	Single-zone	Mini-Splits		"4,446"	"13,679"	"18,766"	0.24	1.03	1.56	5.43	3.91	3.52		"2,893"	"8,902"	"15,388"	0.21	0.90	1.79	4.04	2.92	2.52		"2,262"		"14,330"	0.20		1.86	3.37		2.26		76%	93%		N/A				N/A		z													
Daikin AC (Americas), Inc	Daikin	LV Series	5265753	RXS09LVJU	FTXS09LVJU	HRCU-A-CB-O	12.5	24.5	15.3	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,400"	"12,000"	"15,600"	0.22	0.79	1.27	5.99	4.45	3.60		"2,408"	"6,520"	"8,465"	0.15	0.55	0.88	4.72	3.48	2.81		"1,982"		"6,968"	0.14		0.84	4.08		2.43		45%	82%		Accessory (KEH041A41)		Temp. below 23 degrees		0	"1,727"	z	"6,070"	0.14		0.82	3.66		2.18						
Daikin AC (Americas), Inc	Daikin	LV Series	5265755	RXS12LVJU	FTXS12LVJU	HRCU-A-CB-O	12.5	23	12.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,800"	"14,400"	"18,000"	0.22	0.97	1.27	6.53	4.35	4.15		"2,593"	"7,816"	"9,780"	0.15	0.67	0.88	5.08	3.40	3.25		"2,135"		"8,051"	0.14		0.84	4.39		2.81		45%	82%		Accessory (KEH041A41)		Temp. below 23 degrees		0	"1,860"	z	"7,013"	0.14		0.82	3.94		2.52						
Daikin AC (Americas), Inc	Daikin	MXS Series	8103869	3MXS24NMVJU	CTXS07LVJU+CTXS09LVJU+CTXS09LVJU	HRCU-A-CB-O	12.5	17.9	12.7	"24,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"8,500"	"24,000"	"36,000"	0.43	1.46	2.97	5.79	4.82	3.55		"6,570"	"16,230"	"24,350"	0.43	1.29	2.62	4.48	3.69	2.72		"5,500"		"18,930"	0.43		2.46	3.75		2.26		53%	78%		Accessory (KEH063A4E)		Temp. below 23 degrees		0	"5,020"	z	"16,670"	0.43		2.39	3.42		2.05						
Daikin AC (Americas), Inc	Daikin	Aurora Series	8849330	RXL15QMVJU	FTX15NMVJU	HRCU-A-CB-O	12.5	20	13	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,814"	"18,295"	"24,566"	0.39	1.34	2.31	4.37	4.00	3.12		"3,784"	"11,904"	"19,755"	0.34	1.17	2.36	3.25	2.98	2.45		"2,958"		"18,254"	0.32		2.36	2.71		2.27		74%	92%		N/A				N/A		z													
Daikin AC (Americas), Inc	Daikin	Aurora Series	8849533	RXL09QMVJU	FTX09NMVJU	HRCU-A-CB-O	12.5	20	12.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,446"	"10,942"	"16,036"	0.23	0.76	1.70	5.67	4.21	2.76		"2,893"	"7,121"	"12,136"	0.20	0.66	1.64	4.22	3.14	2.17		"2,262"		"10,918"	0.19		1.62	3.51		1.97		68%	90%		N/A				N/A		z													
Daikin AC (Americas), Inc	Daikin	MXL Aurora Series	8849539	3MXL24QMVJU	CTXS07LVJU+FTXS09LVJU+FTXS09LVJU	HRCU-A-CB-O	12.5	17.9	12.7	"24,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"7,720"	"24,000"	"41,000"	0.44	1.54	3.52	5.14	4.57	3.41		"5,030"	"15,670"	"26,780"	0.38	1.35	3.08	3.88	3.40	2.55		"4,060"		"21,600"	0.36		2.92	3.31		2.17		53%	81%		N/A				N/A															
Electrolux Home Products	Frigidaire		8718585	FFHP183CS2	FFHP183WS2	HRCU-A-CB-O	10	20	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,340"	"8,806"	"19,315"	0.58	0.63	2.47	3.71	4.08	2.29		"7,120"	"12,471"	"18,688"	0.61	1.37	2.61	3.42	2.67	2.10		"6,870"		"16,425"	0.63		2.62	3.20		1.84		85%	88%		Integrated	160±5%	"If outdoor temperature is lower than temperature setting of Pan Heater, the Pan Heater will be activated."		N/A															
Electrolux Home Products	Frigidaire		8718584	FFHP123CS2	FFHP123WS2	HRCU-A-CB-O	10.1	22	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,400"	"13,000"	"14,000"	0.40	1.10	1.40	1.76	3.46	2.93		"4,000"	"7,500"	"11,000"	0.42	0.84	1.34	2.79	2.62	2.41		"3,200"		"8,800"	0.45		1.27	2.08		2.03		63%	80%		Integrated	72±5%	"If outdoor temperature is lower than temperature setting of Pan Heater, the Pan Heater will be activated."		N/A															
Electrolux Home Products	Frigidaire		8718583	FFHP093CS2 	FFHP093WS2	HRCU-A-CB-O	10.5	23	14	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"1,900"	"11,000"	"12,000"	0.16	1.02	1.20	3.48	3.16	2.93		"4,100"	"7,800"	"11,000"	0.43	0.83	1.37	2.79	2.75	2.35		"3,300"		"10,200"	0.46		1.45	2.10		2.06		85%	93%		Integrated	72	"If outdoor temperature is lower than temperature setting of Pan Heater, the Pan Heater will be activated."		N/A															
Friedrich Air Conditioning	Friedrich	J-Series	8915234	MR24DY3JMA	Mixed	HMSV-A-CB	10.2	19.6	12.5	"18,900"	Yes	Ductless	Multi-zone	Mixed Ducted and Non-ducted Indoor Units		"10,230"	"23,250"	"27,900"	1.17	1.86	2.60	2.56	3.67	3.14		"6,270"	"14,250"	"20,394"	1.01	1.61	1.76	1.82	2.59	3.40		"4,932"		"14,109"	0.97		1.70	1.49		2.43		51%	69%		N/A				N/A															
Friedrich Air Conditioning	Friedrich	J-Series	8915232	MR24DY3JMA	Non-Ducted	HMSV-A-CB	10.6	21.7	13.5	"20,000"	Yes	Ductless	Multi-zone	Non-Ducted Indoor Units		"9,240"	"24,000"	"28,800"	1.09	1.80	2.52	2.48	3.91	3.35		"5,580"	"14,500"	"21,097"	0.95	1.56	1.71	1.73	2.72	3.62		"4,332"		"14,595"	0.92		1.65	1.38		2.59		51%	69%		N/A				N/A															
Friedrich Air Conditioning	Friedrich	J-Series	7000021	MR09Y3J	MW09Y3J	HRCU-A-CB-O	11	21.5	13.3	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"10,800"	"17,061"	0.20	0.70	1.39	4.34	4.52	3.60		"2,700"	"5,880"	"15,355"	0.27	0.56	1.90	2.89	3.08	2.37		"2,070"		"11,943"	0.28		1.95	2.16		1.79		70%	78%		Integrated	60W @230V	Base pan heater starts when outside temperature is less than 0C (heating mode). The heater turns off when temperature is greater than 3C.		N/A		z													
Friedrich Air Conditioning	Friedrich	J-Series	7000022	MR12Y3J	MW12Y3J	HRCU-A-CB-O	11	21.5	12.5	"11,200"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"13,300"	"22,178"	0.19	1.00	2.08	4.49	3.90	3.12		"2,700"	"6,880"	"19,960"	0.26	0.81	2.85	3.04	2.49	2.05		"2,070"		"15,525"	0.27		2.91	2.28		2.00		70%	78%		Integrated	60W @230V	Base pan heater starts when outside temperature is less than 0C (heating mode). The heater turns off when temperature is greater than 3C.		N/A		z													
Friedrich Air Conditioning	Friedrich	J-Series	7012589	MR24Y3J	MW24Y3J	HRCU-A-CB-O	11	21.5	12.5	"22,000"	Yes	Ductless	Single-zone	Mini-Splits		"6,200"	"27,000"	"38,898"	0.53	2.38	4.19	3.43	3.40	2.72		"5,456"	"17,240"	"34,230"	0.58	1.92	4.61	2.76	2.63	2.18		"4,278"		"27,229"	0.60		4.42	2.08		1.80		70%	80%		N/A				N/A		z													
