Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
American Standard	American Standard	AccuComfort Platinum 18	10093460	4A6V8037A1	TAM9A0C36V31	HRCU-A-CB	10.00	18.00	13.00	35800	Yes	Centrally Ducted	N/A	N/A		8500	32800	32200	0.52	2.38	2.30	4.78	4.04	4.10		15820	25800	26100	1.83	2.38	3.22	2.54	3.18	2.38		16448		19860	2.58		3.08	1.86		1.90		62%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	10093461	4A6V8037A1	TAM9A0C42V41	HRCU-A-CB	10.00	18.00	12.50	46500	Yes	Centrally Ducted	N/A	N/A		8400	30800	33300	0.51	2.20	2.68	4.82	4.10	3.64		15600	24800	25200	1.90	2.20	3.36	2.40	3.30	2.20		16242		19440	2.70		3.22	1.76		1.75		58%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10093462	4A6V8048A1	TAM9A0C42V41	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12300	41500	42600	0.76	2.14	3.80	4.74	5.68	3.28		23290	36200	36600	2.81	2.14	5.00	2.42	4.96	2.14		24456		28920	4.04		4.80	1.78		1.75		68%	79%																					
American Standard	American Standard	AccuComfort Platinum 18	10093463	4A6V8048A1	TAM9A0C48V41	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		11900	41000	43000	0.76	2.36	3.46	4.58	5.09	3.64		22960	36400	36800	2.59	2.36	4.57	2.60	4.52	2.36		24190		28780	3.68		4.38	1.92		1.95		67%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10093464	4A6V8048A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		11900	41500	42600	0.77	2.32	3.54	4.52	5.24	3.52		22850	36200	36600	2.62	2.32	4.64	2.56	4.57	2.32		24150		28680	3.72		4.42	1.90		1.90		67%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10093467	4A6V8049A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12000	41000	31700	0.78	2.26	2.50	4.50	5.32	3.72		22630	35600	36100	2.65	2.26	4.67	2.50	4.62	2.26		23644		28140	3.74		4.46	1.86		1.85		89%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10093468	4A6V8060A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	54000	Yes	Centrally Ducted	N/A	N/A		18400	50500	32300	1.21	2.10	2.55	4.46	7.05	3.72		33510	49500	51100	3.94	2.10	7.14	2.50	6.91	2.10		34860		40780	5.60		6.76	1.82		1.75		126%	80%																					
American Standard	American Standard	AccuComfort Platinum 20	10153439	4A6V0036A1	TEM8A0C36V31+TDR	HRCU-A-CB	10.00	20.00	13.00	35400	Yes	Centrally Ducted	N/A	N/A		8200	31800	32700	0.51	2.44	2.37	4.72	3.82	4.04		15380	25600	25500	1.75	2.44	3.06	2.58	3.07	2.44		16182		19500	2.48		2.94	1.92		1.95		60%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	10153440	4A6V0036A1	TEM8A0C42V41+TDR	HRCU-A-CB	10.00	20.00	13.00	35600	Yes	Centrally Ducted	N/A	N/A		8300	31400	32700	0.52	2.32	2.41	4.68	3.97	3.98		15490	25200	25400	1.82	2.32	3.20	2.50	3.18	2.32		16182		19400	2.58		3.06	1.84		1.85		59%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	10153441	4A6V0036A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	20.00	13.00	35600	Yes	Centrally Ducted	N/A	N/A		8200	31000	31100	0.52	2.40	2.52	4.62	3.78	3.62		15600	25200	25600	1.78	2.40	3.12	2.56	3.08	2.40		16382		19700	2.52		2.98	1.90		1.95		63%	77%																					
