General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
American Standard		7039512	4A6V8036A1	*UD2B060ACV3 4TXCB004CC3	Yes	10	18	12	Yes	Ducted	N/A		"8,200"	"31,600"	"32,700"	0.48	2.99	2.60	5.00	3.10	3.68		"16,150"	"25,800"	"25,900"	1.90	3.44	3.37	2.50	2.20	2.26		"17,134"		"20,380"	2.74		3.24	1.84		1.84		N/A				N/A		z							
American Standard		6796559	4A6V8037A1	*AM8C0B30V21	Yes	10	18	13	Yes	Ducted	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.66		3.16	1.84		1.86		N/A				N/A		z							
American Standard		6796560	4A6V8037A1	*UD2B080ACV3 4TXCB004CC3	Yes	10	18	12.5	Yes	Ducted	N/A		"8,300"	"32,000"	"33,300"	0.50	3.02	2.68	4.86	3.10	3.64		"16,040"	"25,800"	"26,100"	1.95	3.44	3.46	2.42	2.20	2.22		"16,934"		"20,240"	2.80		3.32	1.78		1.78		N/A				N/A		z							
American Standard		6796562	4A6V8037A1	*UD2C080ACV4 4TXCC007CC3	Yes	10	18	13	Yes	Ducted	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.36	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		N/A				N/A		z							
American Standard		6796563	4A6V8037A1	*UD2C100ACV5 4TXCC007CC3	Yes	10	18	13	Yes	Ducted	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.60	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		N/A				N/A		z							
American Standard		7125581	4A6V8037A1	*DHMB060BCV3 4TXFH036CZ3	Yes	10	18	12.5	Yes	Ducted	N/A		"8,300"	"31,800"	"33,200"	0.52	2.91	2.66	4.68	3.20	3.66		"16,150"	"25,800"	"26,100"	1.95	3.44	3.41	2.42	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		N/A				N/A		z							
American Standard		6796565	4A6V8037A1	*UD2C080ACV4 4TXFH036CZ3	Yes	10	18	13	Yes	Ducted	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.52	4.74	3.20	3.76		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		N/A				N/A		z							
American Standard		6750233	4A6V8048A1	*AM8C0C48V41	Yes	10	18	12.5	Yes	Ducted	N/A		"11,800"	"41,000"	"43,000"	0.74	3.88	3.64	4.68	3.10	3.46		"21,860"	"34,400"	"34,800"	2.57	4.58	4.61	2.50	2.20	2.22		"22,792"		"27,080"	3.66		4.38	1.82		1.82		N/A				N/A		z							
American Standard		6750457	4A6V8049A1	*AM8C0C48V41	Yes	10	18	12.5	Yes	Ducted	N/A		"11,800"	"41,500"	"42,600"	0.74	4.05	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		N/A				N/A		z							
Carrier Corporation	Bryant	7029864	280ANV024000	FE4ANB006L	Yes	13	20.5	16	Yes	Ducted	N/A		"14,510"	"23,600"	"24,800"	0.85	1.47	1.47	5.01	4.70	4.70		"13,740"	"24,800"	"24,800"	1.54	2.86	2.86	2.62	2.54	2.54		"10,930"		"19,630"	1.47		2.77	1.73		2.08		N/A				N/A									
