General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
Mitsubishi		4934170	MUZ-FE12NA	MSZ-FE12NA	Yes	10.5	23	12.9	Yes	Ductless	Single-zone		"3,000"	"13,600"	"21,000"	0.15	0.95	2.25	5.06	4.20	2.74		"1,700"	"8,300"	"13,600"	0.11	0.80	1.78	4.53	3.04	2.24		"1,200"		"13,600"	0.08		1.62	4.40		2.46		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A									
Mitsubishi		4217888	MUZ-FE18NA	MSZ-FE18NA	Yes	10.3	20.2	14.2	Yes	Ductless	Single-zone		"7,500"	"21,600"	"29,700"	0.52	1.54	2.42	4.23	4.11	3.60		"4,300"	"11,700"	"25,850"	0.37	1.24	3.28	3.41	2.76	2.31		"3,000"		"21,830"	0.28		3.15	3.14		2.03		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A									
Mitsubishi		7002062	MUZ-FH09NA	MSZ-FH09NA	Yes	13.5	30.5	16.1	Yes	Ductless	Single-zone		"1,600"	"10,900"	"18,000"	0.11	0.71	1.47	4.26	4.50	3.59		920	"6,700"	"12,200"	0.08	0.60	1.44	3.37	3.27	2.48		640		"10,900"	0.06		1.35	3.13		2.32		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	240		"7,300"	0.03		1.25	2.34		1.71
Mitsubishi		7002063	MUZ-FH12NA	MSZ-FH12NA	Yes	12.5	26.1	13.8	Yes	Ductless	Single-zone		"3,700"	"13,600"	"21,000"	0.28	0.95	2.30	3.87	4.20	2.68		"2,100"	"8,000"	"13,600"	0.20	0.72	1.90	3.08	3.26	2.10		"1,450"		"13,600"	0.15		1.80	2.83		2.21		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	550		"9,900"	0.07		1.60	2.30		1.81
Mitsubishi		7002444	MUZ-FH15NA	MSZ-FH15NA	Yes	12	22	12.5	Yes	Ductless	Single-zone		"5,150"	"18,000"	"24,000"	0.43	1.30	3.36	3.51	4.06	2.09		"2,950"	"11,000"	"18,000"	0.31	1.02	2.48	2.79	3.16	2.13		"2,050"		"18,000"	0.23		2.95	2.61		1.79		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	750	z	"14,600"	0.11		2.35	2.00		1.82
Mitsubishi		8111727	MUZ-FH18NA	MSZ-FH18NA	Yes	12	21	12	Yes	Ductless	Single-zone		"5,150"	"20,300"	"30,000"	0.43	1.72	3.39	3.51	3.46	2.59		"2,950"	"13,700"	"20,300"	0.31	1.32	2.80	2.79	3.04	2.12		"2,050"		"20,300"	0.23		2.96	2.61		2.01		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	750		"14,000"	0.11		2.35	2.00		1.74
Trane		6749942	4TWV0024A1	*AM8C0B30V21	Yes	10	19.25	13.75	Yes	Ducted	N/A		"7,800"	"20,200"	"21,900"	0.50	1.64	1.56	4.58	3.61	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		N/A				N/A		z							
Trane		6992578	4TWV0036A1	*AM8C0B30V21	Yes	10	20	13	Yes	Ducted	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.64		3.16	1.86		1.86		N/A				N/A		z							
Trane		7599437	4TWV0036A1	*AM8C0C48V41	Yes	10	20.75	13.5	Yes	Ducted	N/A		"8,400"	"33,800"	"32,800"	0.50	2.83	2.38	4.92	3.50	4.04		"15,820"	"25,400"	"25,700"	1.78	3.10	3.12	2.60	2.40	2.42		"16,548"		"19,800"	2.54		3.00	1.90		1.94		N/A				N/A		z							
Trane		7125586	4TWV0036A1	*UHMB060ACV3 4TXCB004CC3	Yes	10	18.5	12.5	Yes	Ducted	N/A		"8,500"	"31,000"	"33,500"	0.55	2.93	2.73	4.52	3.10	3.60		"16,150"	"26,000"	"26,300"	1.98	3.46	3.51	2.38	2.20	2.20		"16,934"		"20,300"	2.82		3.36	1.76		1.78		N/A				N/A		z							
Trane		6796600	4TWV0036A1	*UD2C080ACV4 4TXCC007CC3	Yes	10	20	13	Yes	Ducted	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.35	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		N/A				N/A		z							
Trane		6796602	4TWV0036A1	*UD2C100ACV5 4TXCC007CC3	Yes	10	20	13	Yes	Ducted	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.59	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		N/A				N/A		z							
Trane		7125588	4TWV0036A1	*DHMB060BCV3 4TXFH036CZ3	Yes	10	19.5	12.5	Yes	Ducted	N/A		"8,300"	"30,800"	"33,200"	0.52	2.82	2.65	4.68	3.20	3.68		"16,150"	"25,800"	"26,100"	1.94	3.44	3.41	2.44	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		N/A				N/A		z							
Trane		6796604	4TWV0036A1	*UD2C080ACV4 4TXFH036CZ3	Yes	10	20	13	Yes	Ducted	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.51	4.74	3.20	3.78		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		N/A				N/A		z							
Trane		7125587	4TWV0036A1	*UHMB060ACV3 4TXFH036CZ3	Yes	10	18.75	12.5	Yes	Ducted	N/A		"8,300"	"30,400"	"32,700"	0.56	2.87	2.68	4.34	3.10	3.58		"15,930"	"25,600"	"25,900"	1.96	3.41	3.45	2.38	2.20	2.20		"16,788"		"20,040"	2.78		3.32	1.76		1.76		N/A				N/A		z							
Trane		6749944	4TWV0048A1	*AM8C0C48V41	Yes	10	19.25	12.5	Yes	Ducted	N/A		"11,800"	"42,500"	"42,600"	0.74	4.15	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		N/A				N/A		z							
Trane		7161152	4TWV0048A1	*AM8C0C60V51	Yes	10	19.25	12.5	Yes	Ducted	N/A		"11,800"	"43,000"	"43,100"	0.74	3.94	3.53	4.68	3.20	3.58		"21,640"	"34,200"	"34,700"	2.56	4.55	4.54	2.48	2.20	2.24		"22,486"		"26,780"	3.64		4.34	1.80		1.80		N/A				N/A		z							
Trane		6750459	4TWV8024A1	*AM8C0B30V21	Yes	10	18	13	Yes	Ducted	N/A		"7,800"	"20,000"	"21,900"	0.50	1.63	1.56	4.58	3.60	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		N/A				N/A		z							
Trane		6750234	4TWV8036A1	*AM8C0C36V31	Yes	10	18	13	Yes	Ducted	N/A		"8,200"	"32,200"	"32,200"	0.47	3.04	2.60	5.12	3.10	3.62		"15,710"	"25,200"	"25,400"	1.85	3.36	3.33	2.48	2.20	2.24		"16,488"		"19,680"	2.66		3.18	1.82		1.82		N/A				N/A		z							
Trane		7035765	4TWV8036A1	*DD2C100ACV5 4NXCC005AS3	Yes	10	18	12.5	Yes	Ducted	N/A		"8,400"	"31,600"	"32,600"	0.50	2.99	2.54	4.92	3.10	3.76		"16,040"	"26,200"	"26,300"	1.89	3.49	3.42	2.48	2.20	2.26		"16,828"		"20,200"	2.70		3.26	1.82		1.82		N/A				N/A		z							
Trane		7039516	4TWV8036A1	*UD2B060ACV3 4TXCB004CC3	Yes	10	18	12	Yes	Ducted	N/A		"8,200"	"31,600"	"32,700"	0.48	2.99	2.60	5.00	3.10	3.68		"16,150"	"25,800"	"25,900"	1.90	3.44	3.37	2.50	2.20	2.26		"17,134"		"20,380"	2.74		3.24	1.84		1.84		N/A				N/A		z							
Trane		6796635	4TWV8037A1	*AM8C0B30V21	Yes	10	18	13	Yes	Ducted	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.66		3.16	1.84		1.86		N/A				N/A		z							
Trane		6796636	4TWV8037A1	*UD2B080ACV3 4TXCB004CC3	Yes	10	18	12.5	Yes	Ducted	N/A		"8,300"	"32,000"	"33,300"	0.50	3.02	2.68	4.86	3.10	3.64		"16,040"	"25,800"	"26,100"	1.95	3.44	3.46	2.42	2.20	2.22		"16,934"		"20,240"	2.80		3.32	1.78		1.78		N/A				N/A		z							
Trane		6796638	4TWV8037A1	*UD2C080ACV4 4TXCC007CC3	Yes	10	18	13	Yes	Ducted	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.36	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		N/A				N/A		z							
Trane		6796639	4TWV8037A1	*UD2C100ACV5 4TXCC007CC3	Yes	10	18	13	Yes	Ducted	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.60	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		N/A				N/A		z							
Trane		7125597	4TWV8037A1	*DHMB060BCV3 4TXFH036CZ3	Yes	10	18	12.5	Yes	Ducted	N/A		"8,300"	"31,800"	"33,200"	0.52	2.91	2.66	4.68	3.20	3.66		"16,150"	"25,800"	"26,100"	1.95	3.44	3.41	2.42	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		N/A				N/A		z							
Trane		6796641	4TWV8037A1	*UD2C080ACV4 4TXFH036CZ3	Yes	10	18	13	Yes	Ducted	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.52	4.74	3.20	3.76		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		N/A				N/A		z							
Trane		6750235	4TWV8048A1	*AM8C0C48V41	Yes	10	18	12.5	Yes	Ducted	N/A		"11,800"	"41,000"	"43,000"	0.74	3.88	3.64	4.68	3.10	3.46		"21,860"	"34,400"	"34,800"	2.57	4.58	4.61	2.50	2.20	2.22		"22,792"		"27,080"	3.66		4.38	1.82		1.82		N/A				N/A		z							
Trane		6750461	4TWV8049A1	*AM8C0C48V41	Yes	10	18	12.5	Yes	Ducted	N/A		"11,800"	"41,500"	"42,600"	0.74	4.05	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		N/A				N/A		z							
Toshiba Carrier	Carrier	6960758	RAS-09EAV-UL	RAS-09EKV-UL	Yes	10	20	13	Yes	Ductless	Singlezone		"3,070"	"10,800"	"16,350"	0.17	0.80	1.40	5.29	3.95	3.42		"1,795"	"6,313"	"9,551"	0.13	0.61	1.04	4.14	3.03	2.69		"1,224"		"6,519"	0.11		0.90	3.29		2.13						-4	828	z	4409	0.10		0.79	2.52		1.64
Toshiba Carrier	Carrier	6960762	RAS-15EAV-UL	RAS-15EKV-UL	Yes	10	20	13	Yes	Ductless	Singlezone		"2,750"	"18,000"	"21,500"	0.14	1.40	1.90	5.64	3.77	3.32		"1,608"	"10,400"	"12,553"	0.11	1.04	1.42	4.44	2.93	2.60		"1,096"		"8,752"	0.09		1.22	3.52		2.11						-4	742	z	5798	0.08		1.07	2.72		1.59
Toshiba Carrier	Carrier	6960764	RAS-17EAV-UL	RAS-17EKV-UL	Yes	10	19	12.6	Yes	Ductless	Singlezone		"2,750"	"20,200"	"21,500"	0.15	1.63	1.91	5.37	3.63	3.30		"1,608"	"10,500"	"12,553"	0.11	1.21	1.42	4.20	2.53	2.59		"1,096"		"8,572"	0.10		1.22	3.35		2.06						-4	742	z	5798	0.08		1.07	2.59		1.58
																																																								
																																																								
"*Performance may be represented by engineering data. ""Minimum"" and ""Maximum"" refer to the steady-state heating capacities at each condition that equipment can deliver during normal operation. Capacities in the ""Rated"" column should correspond to those listed on the AHRI certificate at 47F and 17F ODB. In some cases these may be equal to the ""Maximum"" capacity values. Btu/hour is total heat output, and kW is power input. "																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
