	 tmpf 
1-1-18 15:20 EDT	M
1-1-18 15:25 EDT	M
1-1-18 15:30 EDT	M
1-1-18 15:35 EDT	M
1-1-18 15:40 EDT	M
1-1-18 15:45 EDT	M
1-1-18 15:50 EDT	M
1-1-18 15:55 EDT	M
1-1-18 15:56 EDT	6.1
1-1-18 16:00 EDT	M
1-1-18 16:05 EDT	M
1-1-18 16:10 EDT	M
1-1-18 16:15 EDT	M
1-1-18 16:20 EDT	M
1-1-18 16:25 EDT	M
1-1-18 16:30 EDT	M
1-1-18 16:35 EDT	M
1-1-18 16:40 EDT	M
1-1-18 16:45 EDT	M
1-1-18 16:50 EDT	M
1-1-18 16:55 EDT	M
1-1-18 16:56 EDT	9
1-1-18 17:00 EDT	M
1-1-18 17:05 EDT	M
1-1-18 17:10 EDT	M
1-1-18 17:15 EDT	M
1-1-18 17:20 EDT	M
1-1-18 17:25 EDT	M
1-1-18 17:30 EDT	M
1-1-18 17:35 EDT	M
1-1-18 17:40 EDT	M
1-1-18 17:45 EDT	M
1-1-18 17:50 EDT	M
1-1-18 17:55 EDT	M
1-1-18 17:56 EDT	10.9
1-1-18 18:00 EDT	M
1-1-18 18:05 EDT	M
1-1-18 18:10 EDT	M
1-1-18 18:15 EDT	M
1-1-18 18:20 EDT	M
1-1-18 18:25 EDT	M
1-1-18 18:30 EDT	M
1-1-18 18:35 EDT	M
1-1-18 18:40 EDT	M
1-1-18 18:45 EDT	M
1-1-18 18:50 EDT	M
1-1-18 18:55 EDT	M
1-1-18 18:56 EDT	10.9
1-1-18 19:00 EDT	M
1-1-18 19:05 EDT	M
1-1-18 19:10 EDT	M
1-1-18 19:15 EDT	M
1-1-18 19:20 EDT	M
1-1-18 19:25 EDT	M
1-1-18 19:30 EDT	M
1-1-18 19:35 EDT	M
1-1-18 19:40 EDT	M
1-1-18 19:45 EDT	M
1-1-18 19:50 EDT	M
1-1-18 19:55 EDT	M
1-1-18 19:56 EDT	10.9
1-1-18 20:00 EDT	M
1-1-18 20:05 EDT	M
1-1-18 20:10 EDT	M
1-1-18 20:15 EDT	M
1-1-18 20:20 EDT	M
1-1-18 20:25 EDT	M
1-1-18 20:30 EDT	M
1-1-18 20:35 EDT	M
1-1-18 20:40 EDT	M
1-1-18 20:45 EDT	M
1-1-18 20:50 EDT	M
1-1-18 20:55 EDT	M
1-1-18 20:56 EDT	10
1-1-18 21:00 EDT	M
1-1-18 21:05 EDT	M
1-1-18 21:10 EDT	M
1-1-18 21:15 EDT	M
1-1-18 21:20 EDT	M
1-1-18 21:25 EDT	M
1-1-18 21:30 EDT	M
