ID = KBED	TMP ¡ F
1-1-2017 0:42 EDT	37
1-1-2017 0:56 EDT	37
1-1-2017 1:46 EDT	36
1-1-2017 1:53 EDT	35.6
1-1-2017 1:56 EDT	35.1
1-1-2017 2:03 EDT	35.1
1-1-2017 2:26 EDT	35.1
1-1-2017 2:47 EDT	35.1
1-1-2017 2:56 EDT	35.1
1-1-2017 3:03 EDT	35.1
1-1-2017 3:47 EDT	35.1
1-1-2017 3:56 EDT	35.1
1-1-2017 4:56 EDT	35.1
1-1-2017 5:56 EDT	35.1
1-1-2017 6:56 EDT	34
1-1-2017 7:56 EDT	34
1-1-2017 8:56 EDT	37.9
1-1-2017 9:56 EDT	39.9
1-1-2017 10:56 EDT	42.1
1-1-2017 11:56 EDT	43
1-1-2017 12:56 EDT	42.1
1-1-2017 13:56 EDT	42.1
1-1-2017 14:56 EDT	42.1
1-1-2017 15:56 EDT	39.9
1-1-2017 16:56 EDT	37.9
1-1-2017 17:56 EDT	35.1
1-1-2017 18:56 EDT	30.9
1-1-2017 19:56 EDT	28
1-1-2017 20:56 EDT	26.1
1-1-2017 21:56 EDT	25
1-1-2017 22:56 EDT	25
1-1-2017 23:56 EDT	23
1-2-2017 0:56 EDT	23
1-2-2017 1:56 EDT	21.9
1-2-2017 2:56 EDT	21
1-2-2017 3:56 EDT	21
1-2-2017 4:56 EDT	21
1-2-2017 5:56 EDT	19.9
1-2-2017 6:56 EDT	19.9
1-2-2017 7:56 EDT	21
1-2-2017 8:56 EDT	25
1-2-2017 9:56 EDT	28
1-2-2017 10:56 EDT	30.9
1-2-2017 11:56 EDT	34
1-2-2017 12:56 EDT	36
1-2-2017 13:56 EDT	37
1-2-2017 14:56 EDT	37.9
1-2-2017 15:56 EDT	37.9
1-2-2017 16:56 EDT	36
1-2-2017 17:56 EDT	36
1-2-2017 18:56 EDT	36
1-2-2017 19:56 EDT	34
1-2-2017 20:56 EDT	35.1
1-2-2017 21:56 EDT	35.1
1-2-2017 22:56 EDT	35.1
1-2-2017 23:56 EDT	34
1-3-2017 0:56 EDT	34
1-3-2017 1:56 EDT	35.1
1-3-2017 2:56 EDT	35.1
1-3-2017 3:56 EDT	35.1
1-3-2017 4:47 EDT	35.1
1-3-2017 4:56 EDT	34
1-3-2017 5:09 EDT	34
1-3-2017 5:56 EDT	34
1-3-2017 6:32 EDT	35.1
1-3-2017 6:56 EDT	36
1-3-2017 7:03 EDT	36
1-3-2017 7:11 EDT	36
1-3-2017 7:49 EDT	41
1-3-2017 7:56 EDT	41
1-3-2017 8:03 EDT	41
1-3-2017 8:25 EDT	41
1-3-2017 8:39 EDT	39.9
1-3-2017 8:56 EDT	39.9
1-3-2017 9:03 EDT	39.9
1-3-2017 9:11 EDT	39.9
1-3-2017 9:54 EDT	39.2
1-3-2017 9:56 EDT	39.9
1-3-2017 10:56 EDT	39.9
1-3-2017 11:30 EDT	39.9
1-3-2017 11:53 EDT	39.2
1-3-2017 11:56 EDT	39.9
1-3-2017 12:56 EDT	39.9
1-3-2017 13:03 EDT	39.9
1-3-2017 13:21 EDT	41
1-3-2017 13:56 EDT	41
1-3-2017 14:56 EDT	41
1-3-2017 15:30 EDT	41
1-3-2017 15:49 EDT	41
1-3-2017 15:56 EDT	41
1-3-2017 16:56 EDT	41
1-3-2017 17:03 EDT	41
1-3-2017 17:15 EDT	41
1-3-2017 17:56 EDT	41
1-3-2017 18:22 EDT	41
1-3-2017 18:56 EDT	42.1
1-3-2017 19:08 EDT	42.1
1-3-2017 19:56 EDT	42.1
1-3-2017 20:18 EDT	42.1
1-3-2017 20:28 EDT	42.1
1-3-2017 20:56 EDT	42.1
1-3-2017 21:16 EDT	43
1-3-2017 21:56 EDT	43
1-3-2017 22:31 EDT	43
1-3-2017 22:49 EDT	43
1-3-2017 22:56 EDT	43
1-3-2017 23:12 EDT	43
1-3-2017 23:24 EDT	43
1-3-2017 23:56 EDT	43
1-4-2017 0:56 EDT	43
1-4-2017 1:06 EDT	42.1
1-4-2017 1:24 EDT	42.8
1-4-2017 1:56 EDT	42.1
1-4-2017 2:56 EDT	37.9
1-4-2017 3:56 EDT	37
1-4-2017 4:56 EDT	36
1-4-2017 5:56 EDT	36
1-4-2017 6:05 EDT	36
1-4-2017 6:56 EDT	35.1
1-4-2017 7:56 EDT	37
1-4-2017 8:13 EDT	36
1-4-2017 8:56 EDT	37
1-4-2017 9:25 EDT	39
1-4-2017 9:56 EDT	39
1-4-2017 10:07 EDT	39
1-4-2017 10:56 EDT	41
1-4-2017 11:25 EDT	42.1
1-4-2017 11:56 EDT	43
1-4-2017 12:01 EDT	44.1
1-4-2017 12:56 EDT	46
1-4-2017 13:41 EDT	46.9
1-4-2017 13:56 EDT	46.9
1-4-2017 14:07 EDT	46.9
1-4-2017 14:56 EDT	46.9
1-4-2017 15:49 EDT	46
1-4-2017 15:56 EDT	46
1-4-2017 16:56 EDT	44.1
1-4-2017 17:27 EDT	43
1-4-2017 17:56 EDT	42.1
1-4-2017 18:56 EDT	41
1-4-2017 19:43 EDT	39.9
1-4-2017 19:45 EDT	39
1-4-2017 19:51 EDT	37.4
1-4-2017 19:52 EDT	37
1-4-2017 19:54 EDT	37
1-4-2017 20:01 EDT	36
1-4-2017 20:22 EDT	34
1-4-2017 20:56 EDT	34
1-4-2017 21:56 EDT	33.1
1-4-2017 22:56 EDT	32
1-4-2017 23:56 EDT	30.9
1-5-2017 0:56 EDT	28.9
1-5-2017 1:56 EDT	28.9
1-5-2017 2:56 EDT	28
1-5-2017 3:56 EDT	27
1-5-2017 4:56 EDT	27
1-5-2017 5:56 EDT	26.1
1-5-2017 6:56 EDT	25
1-5-2017 7:56 EDT	25
1-5-2017 8:56 EDT	27
1-5-2017 9:56 EDT	28
1-5-2017 10:56 EDT	30
1-5-2017 11:56 EDT	32
1-5-2017 12:56 EDT	30.9
1-5-2017 13:56 EDT	32
1-5-2017 14:56 EDT	30.9
1-5-2017 15:56 EDT	30
1-5-2017 16:56 EDT	27
1-5-2017 17:56 EDT	27
1-5-2017 18:56 EDT	26.1
1-5-2017 19:56 EDT	25
1-5-2017 20:56 EDT	26.1
1-5-2017 21:56 EDT	27
1-5-2017 22:56 EDT	26.1
1-5-2017 23:56 EDT	27
1-6-2017 0:56 EDT	27
1-6-2017 1:56 EDT	27
1-6-2017 2:56 EDT	27
1-6-2017 3:56 EDT	26.1
1-6-2017 4:56 EDT	26.1
1-6-2017 5:56 EDT	25
1-6-2017 6:20 EDT	25
1-6-2017 6:33 EDT	25
1-6-2017 6:56 EDT	25
1-6-2017 7:05 EDT	25
1-6-2017 7:14 EDT	25
1-6-2017 7:56 EDT	25
1-6-2017 8:49 EDT	25
1-6-2017 8:56 EDT	26.1
1-6-2017 9:54 EDT	26.6
1-6-2017 9:56 EDT	27
1-6-2017 10:11 EDT	27
1-6-2017 10:34 EDT	27
1-6-2017 10:41 EDT	27
1-6-2017 10:54 EDT	28.4
1-6-2017 10:56 EDT	28
1-6-2017 11:44 EDT	28.9
1-6-2017 11:56 EDT	30
1-6-2017 12:03 EDT	30
1-6-2017 12:18 EDT	30
1-6-2017 12:37 EDT	30
1-6-2017 12:56 EDT	30.9
1-6-2017 13:56 EDT	30
1-6-2017 14:56 EDT	30
1-6-2017 15:56 EDT	28.9
1-6-2017 16:56 EDT	27
1-6-2017 17:56 EDT	26.1
1-6-2017 18:56 EDT	23
1-6-2017 19:56 EDT	23
1-6-2017 20:56 EDT	23
1-6-2017 21:56 EDT	23
1-6-2017 22:56 EDT	21
1-6-2017 23:56 EDT	19.9
1-7-2017 0:56 EDT	18
1-7-2017 1:56 EDT	17.1
1-7-2017 2:56 EDT	18
1-7-2017 3:56 EDT	18
1-7-2017 4:56 EDT	18
1-7-2017 5:56 EDT	18
1-7-2017 6:56 EDT	19
1-7-2017 7:56 EDT	19.9
1-7-2017 8:56 EDT	21
1-7-2017 9:56 EDT	21.9
1-7-2017 10:56 EDT	21.9
1-7-2017 11:28 EDT	21.9
1-7-2017 11:39 EDT	21.9
1-7-2017 11:45 EDT	21
1-7-2017 11:56 EDT	19.9
1-7-2017 12:19 EDT	19
1-7-2017 12:47 EDT	19
1-7-2017 12:56 EDT	19.9
1-7-2017 13:29 EDT	19
1-7-2017 13:39 EDT	19
1-7-2017 13:56 EDT	19
1-7-2017 14:56 EDT	19
1-7-2017 15:31 EDT	19
1-7-2017 15:43 EDT	19
1-7-2017 15:56 EDT	19
1-7-2017 16:29 EDT	18
1-7-2017 16:56 EDT	18
1-7-2017 17:03 EDT	18
1-7-2017 17:22 EDT	18
1-7-2017 17:36 EDT	18
1-7-2017 17:56 EDT	18
1-7-2017 18:03 EDT	18
1-7-2017 18:31 EDT	18
1-7-2017 18:44 EDT	17.6
1-7-2017 18:56 EDT	18
1-7-2017 19:14 EDT	18
1-7-2017 19:23 EDT	17.1
1-7-2017 19:56 EDT	17.1
1-7-2017 20:35 EDT	17.1
1-7-2017 20:44 EDT	17.1
1-7-2017 20:51 EDT	17.6
1-7-2017 20:56 EDT	17.1
1-7-2017 21:20 EDT	17.1
1-7-2017 21:56 EDT	17.1
1-7-2017 22:56 EDT	17.1
1-7-2017 23:27 EDT	17.1
1-7-2017 23:37 EDT	17.1
1-7-2017 23:56 EDT	17.1
1-8-2017 0:23 EDT	17.1
1-8-2017 0:44 EDT	17.1
1-8-2017 0:56 EDT	17.1
1-8-2017 1:15 EDT	16
1-8-2017 1:56 EDT	17.1
1-8-2017 2:56 EDT	14
