BB residence gas deliveries.			
Heat source: Natural Gas
			
Year	Date	$$	Therms
2016	12/24/16	245.	158.0
2017	1/27/17	230.00	171
	2/27/17	248.00	186
	2/27/17	242.00	175
	2/27/17	219.00	156
	2/27/17	160.00	110
	2/27/17	45.00	38
	2/27/17	27.00	21
	2/27/17	27.00	13
	2/27/17	36.00	26
	2/27/17	51.00	39
	2/27/17	200.00	165
	2/27/17	245.00	158
2018	1/25/18	399.00	259
	2/22/18	178.00	117
